Txn [amount=5194500.0, isPending=false, aggregation_time=1415041080000, account_id=nonce:comfy-cc/hdhehe, clear_date=1415042820000, transaction_id=1415042820000, raw_merchant=CREDIT CARD PAYMENT, categorization=Unknown, merchant=Credit Card Payment, transaction_time=2014-11-03T18:58]
Txn [amount=-1000000.0, isPending=false, aggregation_time=1453161600000, account_id=nonce:comfy-checking/hdhehe, clear_date=1453173180000, transaction_id=1453173180000, raw_merchant=ATM WITHDRAWAL, categorization=Unknown, merchant=ATM Withdrawal, transaction_time=2016-01-19T00:00]
Txn [amount=-1000000.0, isPending=false, aggregation_time=1453248000000, account_id=nonce:comfy-checking/hdhehe, clear_date=1453524660000, transaction_id=1453524660000, raw_merchant=ATM WITHDRAWAL, categorization=Unknown, merchant=ATM Withdrawal, transaction_time=2016-01-20T00:00]
Txn [amount=-1000000.0, isPending=false, aggregation_time=1457500680289, account_id=nonce:comfy-checking/hdhehe, clear_date=1457473620000, transaction_id=1457473620000, raw_merchant=ATM WITHDRAWAL, categorization=Cash & ATM, merchant=ATM Withdrawal, transaction_time=2016-03-08T00:00]
Txn [amount=-1000000.0, isPending=false, aggregation_time=1457500680289, account_id=nonce:comfy-checking/hdhehe, clear_date=1457484420000, transaction_id=1457484420000, raw_merchant=ATM WITHDRAWAL, categorization=Cash & ATM, merchant=ATM Withdrawal, transaction_time=2016-03-09T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1459727183414, account_id=nonce:comfy-checking/hdhehe, clear_date=1459913640000, transaction_id=1459913640000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-04-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1459727183414, account_id=nonce:comfy-cc/hdhehe, clear_date=1459724580000, transaction_id=1459724580000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-04-03T00:00]
Txn [amount=-2671500.0, isPending=false, aggregation_time=1461885467303, account_id=nonce:comfy-cc/hdhehe, clear_date=1461873360001, transaction_id=1461873360001, raw_merchant=LOWE'S #2246, categorization=Shopping, merchant=Lowe's #2246, transaction_time=2016-04-25T00:00]
Txn [amount=-2671500.0, isPending=false, aggregation_time=1461561218422, account_id=nonce:comfy-cc/hdhehe, clear_date=1461873360000, transaction_id=1461873360000, raw_merchant=LOWE'S #2246, categorization=Shopping, merchant=Lowe's #2246, transaction_time=2016-04-25T00:00]
Txn [amount=-45300.0, isPending=false, aggregation_time=1461561218422, account_id=nonce:comfy-cc/hdhehe, clear_date=1461818340000, transaction_id=1461818340000, raw_merchant=TARGET, categorization=Shopping, merchant=Target, transaction_time=2016-04-25T00:00]
Txn [amount=-45300.0, isPending=false, aggregation_time=1461885467303, account_id=nonce:comfy-cc/hdhehe, clear_date=1461818340001, transaction_id=1461818340001, raw_merchant=TARGET, categorization=Shopping, merchant=Target, transaction_time=2016-04-25T00:00]
Txn [amount=-2418700.0, isPending=false, aggregation_time=1461669302841, account_id=nonce:comfy-checking/hdhehe, clear_date=1461818100000, transaction_id=1461818100000, raw_merchant=SWEENEYS CHEVROLET, categorization=Auto, merchant=Sweeneys Chevrolet, transaction_time=2016-04-26T00:00]
Txn [amount=-2418700.0, isPending=false, aggregation_time=1461885467303, account_id=nonce:comfy-checking/hdhehe, clear_date=1461818100001, transaction_id=1461818100001, raw_merchant=SWEENEYS CHEVROLET, categorization=Auto, merchant=Sweeneys Chevrolet, transaction_time=2016-04-26T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1462317800505, account_id=nonce:comfy-checking/hdhehe, clear_date=1462247280000, transaction_id=1462247280000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-05-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1462317800505, account_id=nonce:comfy-cc/hdhehe, clear_date=1462516800000, transaction_id=1462516800000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-05-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1465019832998, account_id=nonce:comfy-cc/hdhehe, clear_date=1465220520000, transaction_id=1465220520000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-06-03T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1465019832998, account_id=nonce:comfy-checking/hdhehe, clear_date=1464928560000, transaction_id=1464928560000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-06-03T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1467608652750, account_id=nonce:comfy-checking/hdhehe, clear_date=1467785760000, transaction_id=1467785760000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-07-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1467608652750, account_id=nonce:comfy-cc/hdhehe, clear_date=1467622920000, transaction_id=1467622920000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-07-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1470200776232, account_id=nonce:comfy-cc/hdhehe, clear_date=1470195540000, transaction_id=1470195540000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-08-03T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1470200776232, account_id=nonce:comfy-checking/hdhehe, clear_date=1470424620000, transaction_id=1470424620000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-08-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1472901840066, account_id=nonce:comfy-cc/hdhehe, clear_date=1472951400000, transaction_id=1472951400000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-09-03T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1472901840066, account_id=nonce:comfy-checking/hdhehe, clear_date=1472876340000, transaction_id=1472876340000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-09-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1475493617561, account_id=nonce:comfy-cc/hdhehe, clear_date=1475459040000, transaction_id=1475459040000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-10-03T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1475493617561, account_id=nonce:comfy-checking/hdhehe, clear_date=1475795040000, transaction_id=1475795040000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-10-03T00:00]
Txn [amount=5194500.0, isPending=false, aggregation_time=1480787834516, account_id=nonce:comfy-cc/hdhehe, clear_date=1480810080000, transaction_id=1480810080000, raw_merchant=CREDIT CARD PAYMENT, categorization=Credit Card Payment, merchant=Credit Card Payment, transaction_time=2016-12-03T00:00]
Txn [amount=-5194500.0, isPending=false, aggregation_time=1480787834516, account_id=nonce:comfy-checking/hdhehe, clear_date=1480790460000, transaction_id=1480790460000, raw_merchant=CC PAYMENT, categorization=Credit Card Payment, merchant=CC Payment, transaction_time=2016-12-03T00:00]
